timestamp,method_name,principal_email,resource_name,location,revision,authorization
2026-07-07T14:15:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/reporting-ui,europe-west1,reporting-ui-284-g,ALLOW
2026-07-01T12:29:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/invoice-ingest,europe-west1,invoice-ingest-293-e,ALLOW
2026-07-08T15:20:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/identity-service,europe-west1,identity-service-181-b,ALLOW
2026-07-01T19:13:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/identity-service,europe-west1,identity-service-692-c,ALLOW
2026-07-03T12:25:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/ops-automation,europe-west1,ops-automation-772-f,ALLOW
2026-07-04T11:44:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/ops-automation,europe-west1,ops-automation-763-d,ALLOW
2026-07-05T10:12:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/payments-api,europe-west1,payments-api-679-a,ALLOW
2026-07-06T10:57:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/invoice-ingest,europe-west1,invoice-ingest-967-m,ALLOW
2026-07-13T17:29:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/reporting-ui,europe-west1,reporting-ui-200-a,ALLOW
2026-07-15T16:41:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/payments-api,europe-west1,payments-api-582-p,ALLOW
2026-07-08T06:39:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/ops-automation,europe-west1,ops-automation-205-h,ALLOW
2026-07-28T08:19:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/identity-service,europe-west1,identity-service-931-c,ALLOW
2026-07-21T19:34:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/reporting-ui,europe-west1,reporting-ui-422-e,ALLOW
2026-07-09T17:41:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/invoice-ingest,europe-west1,invoice-ingest-435-n,ALLOW
2026-07-08T12:45:00Z,google.cloud.run.v2.Services.UpdateService,svc-deploy@asteria-prod.iam.gserviceaccount.invalid,projects/asteria-prod/services/invoice-ingest,europe-west1,invoice-ingest-672-p,ALLOW
2026-07-22T11:14:31Z,google.iam.admin.v1.GetServiceAccount,priya.raman@contractor.asteria.invalid,projects/asteria-prod/serviceAccounts/svc-deploy,europe-west1,,ALLOW
