invoice_id,po_id,vendor_id,amount,currency,invoice_date,payment_status,payment_run
INV-9161,PO-7150,V-1015,29608.37,CHF,2026-04-20,paid,PR-RUN-202604
INV-9367,PO-7320,V-1014,38232.66,EUR,2026-04-20,paid,PR-RUN-202604
INV-9182,PO-7167,V-1030,38963.78,EUR,2026-04-23,paid,PR-RUN-202604
INV-9214,PO-7194,V-1026,18664.28,EUR,2026-04-24,paid,PR-RUN-202604
INV-9229,PO-7205,V-1036,1340.68,EUR,2026-04-26,paid,PR-RUN-202604
INV-9215,PO-7195,V-1021,9998.28,CHF,2026-04-27,paid,PR-RUN-202604
INV-9272,PO-7242,V-1008,29143.26,EUR,2026-04-27,paid,PR-RUN-202604
INV-9291,PO-7257,V-1035,39668.18,EUR,2026-04-27,paid,PR-RUN-202604
INV-9313,PO-7274,V-1009,33338.12,EUR,2026-04-27,paid,PR-RUN-202604
INV-9264,PO-7235,V-1007,3463.17,EUR,2026-04-28,paid,PR-RUN-202604
INV-9312,PO-7274,V-1009,17568.88,EUR,2026-04-28,paid,PR-RUN-202604
INV-9156,PO-7146,V-1020,23903.02,EUR,2026-04-29,paid,PR-RUN-202604
INV-9173,PO-7160,V-1002,26219.07,EUR,2026-04-29,paid,PR-RUN-202604
INV-9280,PO-7248,V-1007,22732.53,EUR,2026-04-29,paid,PR-RUN-202604
INV-9261,PO-7232,V-1033,23772.07,EUR,2026-04-30,paid,PR-RUN-202605
INV-9106,PO-7106,V-1012,57158.61,EUR,2026-05-01,paid,PR-RUN-202605
INV-9146,PO-7137,V-1008,60682.82,EUR,2026-05-01,paid,PR-RUN-202605
INV-9242,PO-7216,V-1024,8300.27,EUR,2026-05-01,paid,PR-RUN-202605
INV-9335,PO-7295,V-1018,25798.59,GBP,2026-05-01,paid,PR-RUN-202605
INV-9352,PO-7308,V-1034,14335.23,EUR,2026-05-01,paid,PR-RUN-202605
INV-9116,PO-7115,V-1032,19448.95,EUR,2026-05-02,paid,PR-RUN-202605
INV-9148,PO-7140,V-1034,27851.40,EUR,2026-05-03,paid,PR-RUN-202605
INV-9216,PO-7195,V-1021,29627.78,CHF,2026-05-04,paid,PR-RUN-202605
INV-9226,PO-7204,V-1024,16774.91,EUR,2026-05-05,paid,PR-RUN-202605
INV-9383,PO-6977,V-1007,3320.75,EUR,2026-05-06,paid,PR-RUN-202605
INV-9212,PO-7192,V-1021,40791.88,EUR,2026-05-07,paid,PR-RUN-202605
INV-9281,PO-7248,V-1007,8859.53,EUR,2026-05-08,paid,PR-RUN-202605
INV-9360,PO-7315,V-1032,58218.34,EUR,2026-05-08,paid,PR-RUN-202605
INV-9124,PO-7120,V-1028,13253.94,EUR,2026-05-11,paid,PR-RUN-202605
INV-9244,PO-7217,V-1016,17938.03,EUR,2026-05-11,paid,PR-RUN-202605
INV-9318,PO-7280,V-1020,14262.61,EUR,2026-05-12,paid,PR-RUN-202605
INV-9366,PO-7319,V-1016,1974.00,EUR,2026-05-12,paid,PR-RUN-202605
INV-9305,PO-7268,V-1029,58323.56,EUR,2026-05-13,paid,PR-RUN-202605
INV-9168,PO-7157,V-1007,39968.44,CHF,2026-05-14,paid,PR-RUN-202605
INV-9100,PO-7100,V-1021,8622.42,GBP,2026-05-15,paid,PR-RUN-202605
INV-9317,PO-7279,V-1020,39118.90,EUR,2026-05-15,paid,PR-RUN-202605
INV-9290,PO-7256,V-1008,54312.32,EUR,2026-05-17,paid,PR-RUN-202605
INV-9315,PO-7277,V-1018,32618.94,EUR,2026-05-17,paid,PR-RUN-202605
INV-9121,PO-7119,V-1014,33642.40,EUR,2026-05-19,paid,PR-RUN-202605
INV-9179,PO-7164,V-1023,32247.61,EUR,2026-05-19,paid,PR-RUN-202605
INV-9125,PO-7121,V-1033,54043.23,EUR,2026-05-20,paid,PR-RUN-202605
INV-9127,PO-7124,V-1018,25135.95,EUR,2026-05-20,paid,PR-RUN-202605
INV-9210,PO-7189,V-1027,26779.68,EUR,2026-05-20,paid,PR-RUN-202605
INV-9340,PO-7299,V-1003,55674.41,EUR,2026-05-20,paid,PR-RUN-202605
INV-9118,PO-7116,V-1003,58994.21,EUR,2026-05-21,paid,PR-RUN-202605
INV-9333,PO-7293,V-1016,14280.18,EUR,2026-05-21,paid,PR-RUN-202605
INV-9270,PO-7239,V-1036,44077.29,EUR,2026-05-22,paid,PR-RUN-202605
INV-9174,PO-7161,V-1005,43237.88,EUR,2026-05-23,paid,PR-RUN-202605
INV-9230,PO-7206,V-1016,26451.76,EUR,2026-05-23,paid,PR-RUN-202605
INV-9299,PO-7264,V-1001,7192.90,EUR,2026-05-23,paid,PR-RUN-202605
INV-9309,PO-7271,V-1014,4112.35,EUR,2026-05-25,paid,PR-RUN-202605
INV-9176,PO-7163,V-1009,5040.50,CHF,2026-05-26,paid,PR-RUN-202605
INV-9177,PO-7163,V-1009,4908.95,CHF,2026-05-26,paid,PR-RUN-202605
INV-9206,PO-7186,V-1005,3699.76,EUR,2026-05-27,paid,PR-RUN-202605
INV-9240,PO-7215,V-1027,6707.36,EUR,2026-05-27,paid,PR-RUN-202605
INV-9246,PO-7219,V-1008,41535.72,EUR,2026-05-27,paid,PR-RUN-202605
INV-9332,PO-7291,V-1002,46179.90,EUR,2026-05-27,paid,PR-RUN-202605
INV-9123,PO-7120,V-1028,19011.05,EUR,2026-05-29,paid,PR-RUN-202606
INV-9241,PO-7216,V-1024,11084.45,EUR,2026-05-29,paid,PR-RUN-202606
INV-9285,PO-7252,V-1036,46322.40,EUR,2026-05-29,paid,PR-RUN-202606
INV-9293,PO-7259,V-1033,19648.48,EUR,2026-05-29,paid,PR-RUN-202606
INV-9295,PO-7260,V-1001,48330.08,EUR,2026-05-29,paid,PR-RUN-202606
INV-9370,PO-7322,V-1018,26919.41,CHF,2026-05-29,paid,PR-RUN-202606
INV-9384,PO-7099,V-1020,28400.00,EUR,2026-05-29,paid,PR-RUN-202606
INV-9144,PO-7136,V-1018,16026.40,CHF,2026-05-30,paid,PR-RUN-202606
INV-9223,PO-7201,V-1032,41320.15,EUR,2026-05-30,paid,PR-RUN-202606
INV-9368,PO-7321,V-1023,1962.31,EUR,2026-05-31,paid,PR-RUN-202606
CN-9387,PO-7141,V-1005,-2180.00,EUR,2026-06-02,paid,PR-RUN-202606
INV-9178,PO-7163,V-1009,9274.34,CHF,2026-06-02,paid,PR-RUN-202606
INV-9164,PO-7152,V-1010,31451.94,EUR,2026-06-03,paid,PR-RUN-202606
INV-9243,PO-7216,V-1024,5659.50,EUR,2026-06-03,paid,PR-RUN-202606
INV-9250,PO-7222,V-1008,39410.90,EUR,2026-06-05,paid,PR-RUN-202606
INV-9252,PO-7225,V-1015,7911.92,EUR,2026-06-05,paid,PR-RUN-202606
INV-9190,PO-7174,V-1029,6813.65,EUR,2026-06-06,paid,PR-RUN-202606
INV-9195,PO-7179,V-1024,7009.52,EUR,2026-06-06,paid,PR-RUN-202606
INV-9307,PO-7269,V-1003,45253.83,EUR,2026-06-06,paid,PR-RUN-202606
INV-9109,PO-7109,V-1006,5726.91,CHF,2026-06-08,paid,PR-RUN-202606
INV-9275,PO-7244,V-1027,21873.44,USD,2026-06-09,paid,PR-RUN-202606
INV-9196,PO-7179,V-1024,7848.06,EUR,2026-06-10,paid,PR-RUN-202606
INV-9324,PO-7285,V-1017,10800.34,CHF,2026-06-10,paid,PR-RUN-202606
INV-9135,PO-7130,V-1036,5703.72,EUR,2026-06-11,paid,PR-RUN-202606
INV-9183,PO-7168,V-1004,5048.47,EUR,2026-06-11,paid,PR-RUN-202606
INV-9271,PO-7240,V-1008,42890.76,EUR,2026-06-11,paid,PR-RUN-202606
INV-9325,PO-7285,V-1017,16651.00,CHF,2026-06-11,paid,PR-RUN-202606
INV-9233,PO-7210,V-1035,21527.77,EUR,2026-06-12,paid,PR-RUN-202606
INV-9359,PO-7314,V-1029,30232.29,GBP,2026-06-12,paid,PR-RUN-202606
INV-9385,,V-1017,962.40,EUR,2026-06-12,paid,PR-RUN-202606
INV-9189,PO-7174,V-1029,8225.83,EUR,2026-06-13,paid,PR-RUN-202606
INV-9306,PO-7269,V-1003,15176.07,EUR,2026-06-13,paid,PR-RUN-202606
INV-9308,PO-7270,V-1021,19118.79,EUR,2026-06-14,paid,PR-RUN-202606
INV-9303,PO-7266,V-1027,29452.46,EUR,2026-06-15,paid,PR-RUN-202606
INV-9327,PO-7287,V-1021,43724.26,EUR,2026-06-16,paid,PR-RUN-202606
INV-9145,PO-7136,V-1018,13413.60,CHF,2026-06-17,paid,PR-RUN-202606
INV-9279,PO-7248,V-1007,11944.19,EUR,2026-06-17,paid,PR-RUN-202606
INV-9329,PO-7289,V-1034,60029.86,CHF,2026-06-17,paid,PR-RUN-202606
INV-9110,PO-7110,V-1026,15583.23,EUR,2026-06-18,paid,PR-RUN-202606
INV-9362,PO-7317,V-1020,19018.22,EUR,2026-06-18,paid,PR-RUN-202606
INV-9198,PO-7180,V-1029,8476.87,EUR,2026-06-20,paid,PR-RUN-202606
INV-9185,PO-7169,V-1029,8109.76,EUR,2026-06-22,paid,PR-RUN-202606
INV-9302,PO-7265,V-1036,47713.78,EUR,2026-06-23,paid,PR-RUN-202606
INV-9117,PO-7115,V-1032,33528.46,EUR,2026-06-24,paid,PR-RUN-202606
INV-9151,PO-7142,V-1001,16821.16,CHF,2026-06-24,paid,PR-RUN-202606
INV-9163,PO-7152,V-1010,29145.21,EUR,2026-06-24,paid,PR-RUN-202606
INV-9142,PO-7135,V-1001,44447.99,EUR,2026-06-25,paid,PR-RUN-202606
INV-9155,PO-7145,V-1035,50769.86,EUR,2026-06-25,paid,PR-RUN-202606
INV-9274,PO-7243,V-1032,4482.27,CHF,2026-06-26,paid,PR-RUN-202606
INV-9231,PO-7208,V-1028,38221.23,EUR,2026-06-27,paid,PR-RUN-202606
INV-9253,PO-7226,V-1012,31267.85,EUR,2026-06-27,paid,PR-RUN-202606
INV-9197,PO-7179,V-1024,0.00,EUR,2026-06-29,paid,PR-RUN-202606
INV-9103,PO-7103,V-1032,44914.26,EUR,2026-07-02,paid,PR-RUN-202607
INV-9143,PO-7136,V-1018,23466.17,CHF,2026-07-02,paid,PR-RUN-202607
INV-9101,PO-7101,V-1028,34532.02,EUR,2026-07-03,paid,PR-RUN-202607
INV-9132,PO-7127,V-1019,35943.60,EUR,2026-07-03,paid,PR-RUN-202607
INV-9289,PO-7255,V-1036,12816.84,EUR,2026-07-03,paid,PR-RUN-202607
INV-9320,PO-7281,V-1008,23164.32,EUR,2026-07-03,paid,PR-RUN-202607
INV-9122,PO-7120,V-1028,22242.96,EUR,2026-07-04,paid,PR-RUN-202607
INV-9211,PO-7191,V-1023,7075.14,EUR,2026-07-04,paid,PR-RUN-202607
INV-9257,PO-7229,V-1007,21707.80,CHF,2026-07-04,paid,PR-RUN-202607
INV-9108,PO-7108,V-1034,2310.87,EUR,2026-07-05,paid,PR-RUN-202607
INV-9319,PO-7280,V-1020,20529.24,EUR,2026-07-06,paid,PR-RUN-202607
INV-9237,PO-7212,V-1018,2055.19,GBP,2026-07-07,paid,PR-RUN-202607
INV-9104,PO-7104,V-1009,11522.42,EUR,2026-07-08,paid,PR-RUN-202607
INV-9346,PO-7303,V-1035,55594.16,EUR,2026-07-08,paid,PR-RUN-202607
INV-9363,PO-7317,V-1020,25938.30,EUR,2026-07-08,paid,PR-RUN-202607
INV-9165,PO-7153,V-1018,52080.55,GBP,2026-07-09,paid,PR-RUN-202607
INV-9232,PO-7209,V-1028,572.44,GBP,2026-07-09,paid,PR-RUN-202607
INV-9311,PO-7273,V-1009,31034.61,EUR,2026-07-09,paid,PR-RUN-202607
INV-9113,PO-7112,V-1004,22505.38,EUR,2026-07-10,paid,PR-RUN-202607
INV-9133,PO-7128,V-1015,42014.30,EUR,2026-07-10,paid,PR-RUN-202607
INV-9336,PO-7296,V-1036,6679.44,EUR,2026-07-10,paid,PR-RUN-202607
INV-9105,PO-7104,V-1009,9683.83,EUR,2026-07-12,paid,PR-RUN-202607
INV-9107,PO-7107,V-1029,34700.59,EUR,2026-07-12,paid,PR-RUN-202607
INV-9152,PO-7142,V-1001,12410.18,CHF,2026-07-12,paid,PR-RUN-202607
INV-9339,PO-7298,V-1017,23828.22,EUR,2026-07-12,paid,PR-RUN-202607
INV-9356,PO-7312,V-1021,285.77,EUR,2026-07-12,paid,PR-RUN-202607
INV-9119,PO-7117,V-1020,42534.32,EUR,2026-07-13,paid,PR-RUN-202607
INV-9150,PO-7142,V-1001,21014.35,CHF,2026-07-13,paid,PR-RUN-202607
INV-9166,PO-7154,V-1010,46515.93,EUR,2026-07-13,paid,PR-RUN-202607
INV-9247,PO-7220,V-1036,1456.05,CHF,2026-07-13,paid,PR-RUN-202607
CN-9388,PO-7208,V-1018,-845.30,EUR,2026-07-14,paid,PR-RUN-202607
INV-9357,PO-7312,V-1021,136.37,EUR,2026-07-14,paid,PR-RUN-202607
INV-9141,PO-7134,V-1012,59238.62,CHF,2026-07-15,paid,PR-RUN-202607
INV-9235,PO-7211,V-1021,9088.63,GBP,2026-07-15,paid,PR-RUN-202607
INV-9238,PO-7213,V-1017,53102.80,EUR,2026-07-15,paid,PR-RUN-202607
INV-9351,PO-7307,V-1014,8143.67,USD,2026-07-15,paid,PR-RUN-202607
INV-9154,PO-7144,V-1001,26267.32,EUR,2026-07-17,paid,PR-RUN-202607
INV-9273,PO-7243,V-1032,3113.72,CHF,2026-07-17,paid,PR-RUN-202607
INV-9111,PO-7110,V-1026,33039.29,EUR,2026-07-18,paid,PR-RUN-202607
INV-9149,PO-7141,V-1035,38254.32,GBP,2026-07-18,paid,PR-RUN-202607
INV-9209,PO-7189,V-1027,15823.99,EUR,2026-07-20,paid,PR-RUN-202607
INV-9369,PO-7322,V-1018,25813.59,CHF,2026-07-21,paid,PR-RUN-202607
INV-9386,PO-7412,V-1035,15600.00,EUR,2026-07-21,paid,PR-RUN-202607
INV-9286,PO-7253,V-1035,10920.64,EUR,2026-07-22,paid,PR-RUN-202607
INV-9287,PO-7253,V-1035,18786.43,EUR,2026-07-22,paid,PR-RUN-202607
INV-9259,PO-7231,V-1008,60425.16,EUR,2026-07-23,paid,PR-RUN-202607
INV-9137,PO-7131,V-1030,25440.58,EUR,2026-07-24,paid,PR-RUN-202607
INV-9201,PO-7183,V-1036,11745.67,EUR,2026-07-25,paid,PR-RUN-202607
INV-9219,PO-7198,V-1003,25854.77,EUR,2026-07-26,paid,PR-RUN-202607
INV-9171,PO-7158,V-1004,1368.20,EUR,2026-07-27,paid,PR-RUN-202607
INV-9159,PO-7148,V-1028,40006.36,EUR,2026-07-29,paid,PR-RUN-202607
INV-9245,PO-7218,V-1029,18302.90,EUR,2026-07-29,paid,PR-RUN-202607
INV-9266,PO-7237,V-1009,11969.01,GBP,2026-07-29,paid,PR-RUN-202607
INV-9147,PO-7138,V-1018,29004.23,EUR,2026-07-30,paid,PR-RUN-202607
INV-9258,PO-7230,V-1026,10994.32,EUR,2026-07-30,paid,PR-RUN-202607
INV-9355,PO-7312,V-1021,155.24,EUR,2026-07-31,scheduled,PR-RUN-202608
INV-9321,PO-7282,V-1026,22781.08,GBP,2026-08-01,scheduled,PR-RUN-202608
INV-9347,PO-7304,V-1007,29151.16,EUR,2026-08-01,scheduled,PR-RUN-202608
INV-9377,PO-7328,V-1009,4339.23,EUR,2026-08-03,scheduled,PR-RUN-202608
INV-9205,PO-7185,V-1012,3338.84,EUR,2026-08-04,scheduled,PR-RUN-202608
INV-9376,PO-7328,V-1009,4508.49,EUR,2026-08-05,scheduled,PR-RUN-202608
INV-9126,PO-7123,V-1028,20104.91,EUR,2026-08-08,scheduled,PR-RUN-202608
INV-9314,PO-7276,V-1029,26712.45,EUR,2026-08-08,scheduled,PR-RUN-202608
INV-9288,PO-7254,V-1014,60171.53,EUR,2026-08-09,scheduled,PR-RUN-202608
INV-9310,PO-7272,V-1032,29126.02,EUR,2026-08-09,scheduled,PR-RUN-202608
INV-9337,PO-7296,V-1036,10673.01,EUR,2026-08-09,scheduled,PR-RUN-202608
INV-9372,PO-7324,V-1032,57030.72,EUR,2026-08-09,scheduled,PR-RUN-202608
INV-9181,PO-7166,V-1006,44465.42,EUR,2026-08-11,scheduled,PR-RUN-202608
INV-9129,PO-7126,V-1014,15513.56,GBP,2026-08-12,scheduled,PR-RUN-202608
INV-9220,PO-7199,V-1010,33272.09,EUR,2026-08-12,scheduled,PR-RUN-202608
INV-9236,PO-7211,V-1021,7404.20,GBP,2026-08-12,scheduled,PR-RUN-202608
INV-9134,PO-7129,V-1032,59031.85,GBP,2026-08-13,scheduled,PR-RUN-202608
INV-9192,PO-7176,V-1034,51843.17,EUR,2026-08-14,scheduled,PR-RUN-202608
INV-9203,PO-7184,V-1012,15876.67,EUR,2026-08-14,scheduled,PR-RUN-202608
INV-9268,PO-7237,V-1009,8162.64,GBP,2026-08-14,scheduled,PR-RUN-202608
INV-9138,PO-7131,V-1030,4004.97,EUR,2026-08-15,scheduled,PR-RUN-202608
INV-9204,PO-7184,V-1012,2407.54,EUR,2026-08-15,scheduled,PR-RUN-202608
INV-9140,PO-7133,V-1008,22394.84,GBP,2026-08-16,scheduled,PR-RUN-202608
INV-9234,PO-7211,V-1021,19601.51,GBP,2026-08-16,scheduled,PR-RUN-202608
INV-9323,PO-7284,V-1027,4319.23,EUR,2026-08-16,scheduled,PR-RUN-202608
INV-9375,PO-7328,V-1009,4142.66,EUR,2026-08-16,scheduled,PR-RUN-202608
INV-9200,PO-7182,V-1033,49195.64,EUR,2026-08-17,scheduled,PR-RUN-202608
INV-9217,PO-7196,V-1028,44755.81,EUR,2026-08-17,scheduled,PR-RUN-202608
INV-9322,PO-7283,V-1030,44988.79,EUR,2026-08-17,scheduled,PR-RUN-202608
INV-9342,PO-7301,V-1015,29495.73,EUR,2026-08-17,scheduled,PR-RUN-202608
INV-9343,PO-7301,V-1015,20499.38,EUR,2026-08-17,scheduled,PR-RUN-202608
INV-9364,PO-7317,V-1020,3906.57,EUR,2026-08-17,scheduled,PR-RUN-202608
INV-9131,PO-7126,V-1014,28945.23,GBP,2026-08-18,scheduled,PR-RUN-202608
INV-9353,PO-7310,V-1036,55155.18,GBP,2026-08-18,scheduled,PR-RUN-202608
INV-9136,PO-7131,V-1030,19889.88,EUR,2026-08-21,scheduled,PR-RUN-202608
INV-9221,PO-7200,V-1020,3459.22,EUR,2026-08-21,scheduled,PR-RUN-202608
INV-9304,PO-7267,V-1002,60263.43,EUR,2026-08-21,scheduled,PR-RUN-202608
INV-9345,PO-7302,V-1030,18248.58,EUR,2026-08-21,scheduled,PR-RUN-202608
INV-9167,PO-7155,V-1017,37322.04,CHF,2026-08-22,scheduled,PR-RUN-202608
INV-9188,PO-7172,V-1004,41923.48,EUR,2026-08-25,scheduled,PR-RUN-202608
INV-9371,PO-7323,V-1034,41324.76,EUR,2026-08-26,scheduled,PR-RUN-202608
INV-9374,PO-7327,V-1010,40660.95,EUR,2026-08-29,scheduled,PR-RUN-202608
INV-9112,PO-7111,V-1015,39178.89,EUR,2026-08-30,scheduled,PR-RUN-202608
INV-9193,PO-7177,V-1017,20075.53,GBP,2026-08-30,scheduled,PR-RUN-202608
INV-9278,PO-7247,V-1002,24566.99,CHF,2026-08-30,scheduled,PR-RUN-202608
INV-9139,PO-7132,V-1027,13176.03,EUR,2026-08-31,scheduled,PR-RUN-202608
INV-9169,PO-7158,V-1004,2611.41,EUR,2026-08-31,scheduled,PR-RUN-202608
INV-9350,PO-7306,V-1008,17765.53,EUR,2026-08-31,scheduled,PR-RUN-202608
INV-9328,PO-7288,V-1036,49811.63,EUR,2026-09-01,scheduled,PR-RUN-202608
INV-9225,PO-7203,V-1035,20012.96,EUR,2026-09-02,scheduled,PR-RUN-202608
INV-9344,PO-7301,V-1015,4981.66,EUR,2026-09-03,scheduled,PR-RUN-202608
INV-9239,PO-7214,V-1015,9985.05,GBP,2026-09-06,scheduled,PR-RUN-202608
INV-9284,PO-7251,V-1014,53166.85,CHF,2026-09-06,scheduled,PR-RUN-202608
INV-9296,PO-7261,V-1001,48927.06,EUR,2026-09-08,scheduled,PR-RUN-202608
INV-9316,PO-7278,V-1029,58268.43,EUR,2026-09-09,scheduled,PR-RUN-202608
INV-9338,PO-7297,V-1034,47407.91,USD,2026-09-10,scheduled,PR-RUN-202608
INV-9120,PO-7118,V-1021,13616.66,GBP,2026-09-11,scheduled,PR-RUN-202608
INV-9191,PO-7175,V-1019,38998.52,EUR,2026-09-12,scheduled,PR-RUN-202608
INV-9267,PO-7237,V-1009,18294.50,GBP,2026-09-14,scheduled,PR-RUN-202608
INV-9334,PO-7294,V-1018,22187.83,USD,2026-09-15,scheduled,PR-RUN-202608
INV-9208,PO-7188,V-1027,29967.02,GBP,2026-09-20,scheduled,PR-RUN-202608
INV-9222,PO-7200,V-1020,5166.87,EUR,2026-09-20,scheduled,PR-RUN-202608
INV-9349,PO-7306,V-1008,13967.95,EUR,2026-09-20,scheduled,PR-RUN-202608
INV-9187,PO-7171,V-1015,39156.17,EUR,2026-09-21,scheduled,PR-RUN-202608
INV-9269,PO-7238,V-1010,48475.18,EUR,2026-09-23,scheduled,PR-RUN-202608
INV-9373,PO-7325,V-1034,26724.59,EUR,2026-09-24,scheduled,PR-RUN-202608
INV-9170,PO-7158,V-1004,4052.00,EUR,2026-09-27,scheduled,PR-RUN-202608
INV-9130,PO-7126,V-1014,15655.31,GBP,2026-09-28,scheduled,PR-RUN-202608
INV-9202,PO-7184,V-1012,13016.47,EUR,2026-09-30,scheduled,PR-RUN-202608
INV-9115,PO-7114,V-1019,7472.63,GBP,2026-10-05,scheduled,PR-RUN-202608
