ticket_id,from_status,to_status,transitioned_at,actor
CHG-2126,Draft,In review,2026-07-12T03:52:00Z,kenji.nakamura
CHG-2126,In review,Approved,2026-07-12T03:52:00Z,change.manager
CHG-2127,Draft,In review,2026-07-13T09:41:00Z,omar.haddad
CHG-2127,In review,Approved,2026-07-13T09:41:00Z,change.manager
CHG-2128,Draft,In review,2026-07-12T13:48:00Z,grace.hartley
CHG-2128,In review,Approved,2026-07-12T13:48:00Z,change.manager
CHG-2129,Draft,In review,2026-07-07T10:51:00Z,grace.hartley
CHG-2129,In review,Approved,2026-07-07T10:51:00Z,change.manager
CHG-2130,Draft,In review,2026-07-24T02:41:00Z,omar.haddad
CHG-2130,In review,Approved,2026-07-24T02:41:00Z,change.manager
CHG-2131,Draft,In review,2026-07-29T21:44:00Z,sofia.weber
CHG-2131,In review,Approved,2026-07-29T21:44:00Z,change.manager
CHG-2132,Draft,In review,2026-07-19T09:27:00Z,noah.larsen
CHG-2132,In review,Approved,2026-07-19T09:27:00Z,change.manager
CHG-2133,Draft,In review,2026-07-03T01:18:00Z,kenji.nakamura
CHG-2133,In review,Approved,2026-07-03T01:18:00Z,change.manager
CHG-2134,Draft,In review,2026-07-02T15:35:00Z,lena.schulz
CHG-2134,In review,Approved,2026-07-02T15:35:00Z,change.manager
CHG-2135,Draft,In review,2026-07-30T01:16:00Z,kenji.nakamura
CHG-2135,In review,Approved,2026-07-30T01:16:00Z,change.manager
CHG-2136,Draft,In review,2026-07-28T02:11:00Z,alice.reviewer
CHG-2136,In review,Approved,2026-07-28T02:11:00Z,change.manager
CHG-2137,Draft,In review,2026-07-17T08:29:00Z,marc.bernard
CHG-2137,In review,Approved,2026-07-17T08:29:00Z,change.manager
CHG-2138,Draft,In review,2026-07-24T09:44:00Z,kenji.nakamura
CHG-2138,In review,Approved,2026-07-24T09:44:00Z,change.manager
